filename	movieDataSize
271646AEB3A9FA5E7DCDE032B7EAAB7D27E4BEC3529B2477B968732C0C163341	73349792
2E601780AB6EB1F62A4A891A71E67D7B5BA855F2EDF83815E85F18CFB6527991	71594847
306907D51B75E1B213CB07A558B370B4F0F036B0C8412B96EC97585C63AC673A	48869589
36BE05C2B894166DE060AB592145B214CF26125ED52484BDD2BB7396CBE4617D	55067948
45503F59CE8A57C80C922EFE4D5CE9C1A4409763E89AFA0C89107BA1F1A8540F	46976887
48957EF0B4BC9E47D0A719897EE6C2495080B32D422FF501BCAE91750C106719	72428245
54BB501CC16591C5192C34ED6926344483C60E580177840942962AEDCA6F9718	139232822
5BEA4BD08F6A722A9E9F007750C0A87DD2093AB365B4FF2716983941C24A9080	72853018
63E2375C868E48FC8F05AF80235DAB70CF0963DA096ADE9449BDFE9D90275B3E	105480968
673236E670FFF70E490AFB96C7FFBE5441EBF5F501BE5BB96A45AEF53F224E79	95288798
6BA41CA90FC2945559D21C63BC87F1EC9634C3276E75390884E46781F8226251	63938836
6C0DFAFDEBADEB0E48EBBE07BFBAADADD626F22C9B904185FAB535879D29C446	66784850
6FD1E9D8EB29E2917ED1987C3D2B43F09AFBB50E63DD53DA8D0ADE362AC0DFA0	65350099
7641E971627B677420EC78B75D71261B11FAB25C3CB12DBFE625AB7AEB9C383F	62246975
768542885D9E4CA5D2184A0E26AAC6148C2AECF58BEF5926818A5A68FF9BDBD3	62241829
914465AFEAEE7AFCD873B1E96132FCDE7B419C2962B6A38C89D83E1DEC691181	7422802
9C2139E5251BA10FB5AC1646A52307040EDDC0F10E6664D06EA6710EDC1D6C8A	86611295
9D529984D6FAD4A5F609EFDFD80C52E29CA5AD5040E39DB64142681159FB1067	26271284
B13A9402F117A36BBEB83E430F794A923AFB75ED0199F045B1FCD3B68337FFEE	69597881
B52F9A60B44991F3CFB8144571061699B0E4FBA98E82D4A5444D5EADCBEE53F5	131855078
D4C0C5AB72004F74A887B265AE23C6C73BC9FEB97FDDA08AE19612C59E227B98	83228986
E0391C8EAD15FD99A446EC29BB62D26628E8EC7E551D7C51E8C539169092B6CE	60633502
E0D537E0560755B7D98F21E2460CEF2121F53DEE3CBD9260E0DA2247814A45FF	93857193
E11AFE749D0B8925480A78ADEDE7CF4EBF2030706220531DE267EFCF3725F818	54935476
